Ticker,Ticker,Name,Sector,Industry,Location,Exchange,DataType,Beta,P/E,Price,Market cap,52_High,52_low,Last Cash Flow
ORCL,ORCL,ORACLE CORP,Information Technology,Software & IT Services,United States,New York Stock Exchange Inc.,,1.0002,37.9718,116.586,3.16445E+11,127.54,60.78,5028
AMD,AMD,ADVANCED MICRO DEVICES INC,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.8708,560.6616,111.21,1.79088E+11,132.83,54.57,3565
CMCSA,CMCSA,COMCAST CORP CLASS A,Communication,Telecommunications Services,United States,NASDAQ,,1.0019,31.5195,41.615,1.73486E+11,43.715,28.39,12646
DIS,DIS,WALT DISNEY,Communication,Media & Publishing,United States,New York Stock Exchange Inc.,,1.2971,39.3937,88.945,1.6253E+11,126.48,84.07,1067
TXN,TXN,TEXAS INSTRUMENT INC,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.0052,19.6324,175.09,1.58921E+11,186.3,144.4589,5923
VZ,VZ,VERIZON COMMUNICATIONS INC,Communication,Telecommunications Services,United States,New York Stock Exchange Inc.,,0.3516,7.1747,36.7994,1.54704E+11,51.885,33.72,10401
DHR,DHR,DANAHER CORP,Health Care,Healthcare Equipment & Supplies,United States,New York Stock Exchange Inc.,,0.7973,25.2338,237.31,1.73237E+11,303.82,221.22,7367
WFC,WFC,WELLS FARGO,Financials,Banking Services,United States,New York Stock Exchange Inc.,,1.1187,11.2949,42.3,1.58719E+11,48.84,35.25,27048
PM,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Food & Tobacco,United States,New York Stock Exchange Inc.,,0.72,17.1874,97.34,1.51091E+11,105.62,82.85,9726
NEE,NEE,NEXTERA ENERGY INC,Utilities,Electrical Utilities & IPPs,United States,New York Stock Exchange Inc.,,0.4624,21.8551,73.48,1.48681E+11,91.35,69.64,-805
INTC,INTC,INTEL CORPORATION CORP,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,0.8745,15.3622,32.9755,1.37541E+11,40.73,24.59,-9617
RTX,RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,Aerospace & Defense,United States,New York Stock Exchange Inc.,,1.0573,25.6122,97.6,1.42607E+11,104.91,80.27,4393
HON,HON,HONEYWELL INTERNATIONAL INC,Industrials,Consumer Goods Conglomerates,United States,NASDAQ,,1.089,26.2913,205.58,1.36799E+11,220.96,166.63,4508
BMY,BMY,BRISTOL MYERS SQUIBB,Health Care,Pharmaceuticals,United States,New York Stock Exchange Inc.,,0.4285,18.6695,64.09,1.34643E+11,81.435,62.88,11948
NKE,NKE,NIKE INC CLASS B,Consumer Discretionary,Textiles & Apparel,United States,New York Stock Exchange Inc.,,1.1209,32.5674,113.01,1.73726E+11,131.31,82.22,4430
LOW,LOW,LOWES COMPANIES INC,Consumer Discretionary,Specialty Retailers,United States,New York Stock Exchange Inc.,,1.0772,22.241,222.94,1.30392E+11,224.15,170.76,6760
QCOM,QCOM,QUALCOMM INC,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.2491,12.5056,117.67,1.31084E+11,156.66,101.47,6834
UPS,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Freight & Logistics Services,United States,New York Stock Exchange Inc.,,1.087,14.1979,175.116,1.50405E+11,209.39,154.8718,9335
SPGI,SPGI,S&P GLOBAL INC,Financials,Professional & Commercial Services,United States,New York Stock Exchange Inc.,,1.117,46.089,395.875,1.26997E+11,402.92,279.32,2514
INTU,INTU,INTUIT INC,Information Technology,Financial Technology (Fintech) & Infrastructure,United States,NASDAQ,,1.1871,58.0834,456.52,1.28724E+11,490.83,352.63,3660
CAT,CAT,CATERPILLAR INC,Industrials,Metals & Mining,United States,New York Stock Exchange Inc.,,-0.0927,,0.035,7894310,0.04,0.005,6470
COP,COP,CONOCOPHILLIPS,Energy,Oil & Gas,United States,New York Stock Exchange Inc.,,1.3157,8.1759,102.6,1.24043E+11,138.49,78.3,18155
UNP,UNP,UNION PACIFIC CORP,Industrials,Freight & Logistics Services,United States,New York Stock Exchange Inc.,,1.1025,17.9553,203.675,1.2418E+11,242.355,183.69,5742
AMAT,AMAT,APPLIED MATERIAL INC,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.5884,18.996,144.34,1.21209E+11,146.69,71.12,4612
IBM,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Software & IT Services,United States,New York Stock Exchange Inc.,,0.8458,64.1068,133.88,1.21569E+11,153.21,115.545,8463
AMGN,AMGN,AMGEN INC,Health Care,Pharmaceuticals,United States,NASDAQ,,0.6375,15.0345,220.47,1.17803E+11,296.67,211.71,8785
BA,BA,BOEING,Industrials,Aerospace & Defense,United States,New York Stock Exchange Inc.,,1.4172,,212.36,1.27754E+11,223.91,120.99,2290
ISRG,ISRG,INTUITIVE SURGICAL INC,Health Care,Healthcare Equipment & Supplies,United States,NASDAQ,,1.3146,91.1535,338.48,1.16676E+11,340.59,180.07,958
GE,GE,GENERAL ELECTRIC,Industrials,Consumer Goods Conglomerates,United States,New York Stock Exchange Inc.,,1.2924,15.6476,107.32,1.16867E+11,108.9,46.7658,-1371
MDT,MDT,MEDTRONIC PLC,Health Care,Healthcare Equipment & Supplies,United States,New York Stock Exchange Inc.,,0.7247,30.6089,86.655,1.15286E+11,95.6,75.765,4580
T,T,AT&T INC,Communication,Telecommunications Services,United States,New York Stock Exchange Inc.,,0.6207,7.0513,15.93,1.13884E+11,21.385,14.46,12397
NOW,NOW,SERVICENOW INC,Information Technology,Software & IT Services,United States,New York Stock Exchange Inc.,,1.0175,279.6939,547.825,1.11614E+11,576.68,337,2173
PLD,PLD,PROLOGIS REIT INC,Real Estate,Residential & Commercial REIT,United States,New York Stock Exchange Inc.,,0.9963,36.4287,121.3,1.12016E+11,138.86,98.03,4126
SBUX,SBUX,STARBUCKS CORP,Consumer Discretionary,Hotels & Entertainment Services,United States,NASDAQ,,0.941,31.9646,98.365,1.12766E+11,115.48,74.87,2556
DE,DE,DEERE,Industrials,"Machinery, Equipment & Components",United States,New York Stock Exchange Inc.,,1.0582,13.5585,401.92,1.18802E+11,448.3999,283.81,911
SYK,SYK,STRYKER CORP,Health Care,Healthcare Equipment & Supplies,United States,New York Stock Exchange Inc.,,0.9583,43.5898,301.395,1.13986E+11,306.56,188.84,2036
ELV,ELV,ELEVANCE HEALTH INC,Health Care,Healthcare Providers & Services,United States,New York Stock Exchange Inc.,,0.8401,17.0065,439.07,1.0362E+11,549.52,428.87,7247
BLK,BLK,BLACKROCK INC,Financials,Investment Banking & Investment Services,United States,New York Stock Exchange Inc.,,1.2847,21.2494,688.73,1.0262E+11,785.65,503.1236,4423
LMT,LMT,LOCKHEED MARTIN CORP,Industrials,Aerospace & Defense,United States,New York Stock Exchange Inc.,,0.6642,20.5414,454.974,1.15799E+11,508.1,373.67,6132
GS,GS,GOLDMAN SACHS GROUP INC,Financials,Investment Banking & Investment Services,United States,New York Stock Exchange Inc.,,1.3896,11.1673,324.16,1.07766E+11,389.5781,277.84,4960
MS,MS,MORGAN STANLEY,Financials,Investment Banking & Investment Services,United States,New York Stock Exchange Inc.,,1.3233,14.3884,85.65,1.40273E+11,100.99,72.05,-6397
AXP,AXP,AMERICAN EXPRESS,Financials,Banking Services,United States,New York Stock Exchange Inc.,,1.1829,17.8645,170.9,1.2702E+11,182.15,130.65,21079
MDLZ,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Food & Tobacco,United States,NASDAQ,,0.6571,25.4324,72.255,99714910000,78.59,54.72,3002
BKNG,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Hotels & Entertainment Services,United States,NASDAQ,,1.3364,26.1448,2659.25,98215808762,2786.85,1616.85,6186
ADI,ADI,ANALOG DEVICES INC,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.146,26.9104,189.7,95119051510,198.245,133.48,3776
GILD,GILD,GILEAD SCIENCES INC,Health Care,Pharmaceuticals,United States,NASDAQ,,0.4014,17.2195,75.995,94792591235,89.74,59.27,9072
TJX,TJX,TJX INC,Consumer Discretionary,Diversified Retail,United States,New York Stock Exchange Inc.,,0.915,25.4798,83.555,94996050000,83.64,54.55,2627
MMC,MMC,MARSH & MCLENNAN INC,Financials,Insurance,United States,New York Stock Exchange Inc.,,0.9287,28.6684,185.515,91778221969,185.535,146.82,2995
VRTX,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Biotechnology & Medical Research,United States,NASDAQ,,0.5074,27.9436,349.6478,90052350326,354.46,271.61,3925
C,C,CITIGROUP INC,Financials,Investment Banking & Investment Services,United States,New York Stock Exchange Inc.,,1.5648,6.3495,46.5,90523968000,54.56,40.005,19437
AMT,AMT,AMERICAN TOWER REIT CORP,Real Estate,Residential & Commercial REIT,United States,New York Stock Exchange Inc.,,0.5746,63.8043,191.93,89447671376,282.47,178.17,1823
ADP,ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Software & IT Services,United States,NASDAQ,,0.8106,27.5447,215.48,89019700944,274.92,201.46,2546
CVS,CVS,CVS HEALTH CORP,Health Care,Healthcare Providers & Services,United States,New York Stock Exchange Inc.,,0.6035,22.4539,68.465,87773841625,107.26,66.34,13450
LRCX,LRCX,LAM RESEARCH CORP,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.4837,17.8801,641.0682,86121422522,650.23,299.592,2554
UBER,UBER,UBER TECHNOLOGIES INC,Industrials,Software & IT Services,United States,New York Stock Exchange Inc.,,1.2191,,42.73,86478127710,45.24,19.895,390
SCHW,SCHW,CHARLES SCHWAB CORP,Financials,Investment Banking & Investment Services,United States,New York Stock Exchange Inc.,,0.8822,15.2234,57.11,1.03942E+11,86.63,45,1086
CI,CI,CIGNA,Health Care,Healthcare Providers & Services,United States,New York Stock Exchange Inc.,,0.6465,12.5284,276.744,81880856116,340.11,240.5,7361
MO,MO,ALTRIA GROUP INC,Consumer Staples,Food & Tobacco,United States,New York Stock Exchange Inc.,,0.6256,14.2993,44.825,80014418000,48.99,40.35,8051
ZTS,ZTS,ZOETIS INC CLASS A,Health Care,Pharmaceuticals,United States,New York Stock Exchange Inc.,,0.7676,38.1909,171.14,79085881908,187.8199,124.1483,1326
ETN,ETN,EATON PLC,Industrials,"Machinery, Equipment & Components",United States,New York Stock Exchange Inc.,,1.1239,30.3846,199.13,79373218000,199.72,122.5,1935
PGR,PGR,PROGRESSIVE CORP,Financials,Insurance,United States,New York Stock Exchange Inc.,,0.4965,94.9473,132.56,77600624000,149.87,109.415,0
BSX,BSX,BOSTON SCIENTIFIC CORP,Health Care,Healthcare Equipment & Supplies,United States,New York Stock Exchange Inc.,,0.7965,91.2069,53.42,76801827160,54.745,36.15,938
SO,SO,SOUTHERN,Utilities,Electrical Utilities & IPPs,United States,New York Stock Exchange Inc.,,0.5063,22.6056,69.735,76186420000,80.57,58.85,-1621
CB,CB,CHUBB LTD,Financials,Insurance,United States,New York Stock Exchange Inc.,,0.6487,14.854,188.295,77984012416,231.37,173.78,11243
FI,FI,FISERV INC,Financials,Professional & Commercial Services,United States,New York Stock Exchange Inc.,,0.8695,32.5181,123.56,76274811244,124.11,87.8,3139
PANW,PANW,PALO ALTO NETWORKS INC,Information Technology,Software & IT Services,United States,NASDAQ,,1.189,397.9262,252.76,77307859248,255.42,132.22,1792
ITW,ITW,ILLINOIS TOOL INC,Industrials,Consumer Goods Conglomerates,United States,New York Stock Exchange Inc.,,1.1349,24.6908,247.31,75389160000,253.37,173.52,1936
PYPL,PYPL,PAYPAL HOLDINGS INC,Financials,Software & IT Services,United States,NASDAQ,,1.3099,27.9565,65.94,73570181160,103.03,58.95,5107
TMUS,TMUS,T MOBILE US INC,Communication,Telecommunications Services,United States,NASDAQ,,0.5561,40.7828,136.85,1.64205E+11,154.3786,124.9199,2811
BDX,BDX,BECTON DICKINSON,Health Care,Healthcare Equipment & Supplies,United States,New York Stock Exchange Inc.,,0.5711,47.6112,259.35,73659264315,269.06,215.9,1498
MU,MU,MICRON TECHNOLOGY INC,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.3681,47.9717,64.555,70648604670,74.7699,48.43,3114
REGN,REGN,REGENERON PHARMACEUTICALS INC,Health Care,Biotechnology & Medical Research,United States,NASDAQ,,0.2181,19.0224,701.835,76800470000,837.55,563.82,3398
EQIX,EQIX,EQUINIX REIT INC,Real Estate,Residential & Commercial REIT,United States,NASDAQ,,0.6319,87.1127,773.18,72310314166,792.025,494.89,685
SLB,SLB,SCHLUMBERGER NV,Energy,Oil & Gas Related Equipment and Services,United States,New York Stock Exchange Inc.,,1.7991,18.1107,48.335,68893373885,59.45,30.65,2005
DUK,DUK,DUKE ENERGY CORP,Utilities,Electrical Utilities & IPPs,United States,New York Stock Exchange Inc.,,0.4279,17.7142,89.125,68684332762,113.67,83.76,3339
CSX,CSX,CSX CORP,Industrials,Freight & Logistics Services,United States,NASDAQ,,1.2287,16.4983,33.745,68605440974,34.71,25.8,3486
WM,WM,WASTE MANAGEMENT INC,Industrials,Professional & Commercial Services,United States,New York Stock Exchange Inc.,,0.7297,30.6263,168.87,68699136129,175.98,148.31,1949
AON,AON,AON PLC CLASS A,Financials,Insurance,United States,New York Stock Exchange Inc.,,0.902,26.7597,341.275,69703883012,341.275,262.42,3023
CME,CME,CME GROUP INC CLASS A,Financials,Investment Banking & Investment Services,United States,NASDAQ,,0.4167,23.2612,183.48,66000416460,205.7071,162.2553,3056
EOG,EOG,EOG RESOURCES INC,Energy,Oil & Gas,United States,New York Stock Exchange Inc.,,1.5296,6.9522,111.8541,65418832330,147.7389,89.1401,6093
KLAC,KLAC,KLA CORP,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.354,19.3462,476.47,65371159883,482.2,250.2,3005
ATVI,ATVI,ACTIVISION BLIZZARD INC,Communication,Software & IT Services,United States,NASDAQ,,0.4173,35.5769,83.44,65597090272,87.01,70.94,2129
SNPS,SNPS,SYNOPSYS INC,Information Technology,Software & IT Services,United States,NASDAQ,,1.1392,72.0844,429.2175,65309563112,468.03,267,1600
APD,APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Chemicals,United States,New York Stock Exchange Inc.,,0.8676,29.9539,294.55,65426241285,328.56,218.88,304
BX,BX,BLACKSTONE INC,Financials,Investment Banking & Investment Services,United States,New York Stock Exchange Inc.,,1.4846,111.0044,92.21,1.11136E+11,110.895,71.72,6336
NOC,NOC,NORTHROP GRUMMAN CORP,Industrials,Aerospace & Defense,United States,New York Stock Exchange Inc.,,0.5002,14.3268,448.88,68166647472,556.27,429.1,1466
CL,CL,COLGATE-PALMOLIVE,Consumer Staples,Personal & Household Products & Services,United States,New York Stock Exchange Inc.,,0.4861,39.7855,76.58,63528332756,83.81,67.84,1860
CDNS,CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Software & IT Services,United States,NASDAQ,,1.0462,73.4507,230.12,62750042080,242.65,138.76,1119
ICE,ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Investment Banking & Investment Services,United States,New York Stock Exchange Inc.,,0.94,43.4046,111.9,62649106110,113.15,88.6,3329
HCA,HCA,HCA HEALTHCARE INC,Health Care,Healthcare Providers & Services,United States,New York Stock Exchange Inc.,,1.6608,15.0118,301.5423,82951060227,302.9,164.47,4127
TGT,TGT,TARGET CORP,Consumer Staples,Diversified Retail,United States,New York Stock Exchange Inc.,,1.0218,22.5331,132.53,61170493788,183.8866,125.08,5081
SHW,SHW,SHERWIN WILLIAMS,Materials,Chemicals,United States,New York Stock Exchange Inc.,,1.0879,31.4061,261.71,67492470412,265.64,195.24,1275
F,F,FORD MOTOR CO,Consumer Discretionary,Automobiles & Auto Parts,United States,New York Stock Exchange Inc.,,1.5802,20.5192,14.89,59571465300,15.8763,10.0988,6853
CMG,CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Hotels & Entertainment Services,United States,New York Stock Exchange Inc.,,1.3229,56.8502,2119.905,58487839765,2139.88,1233.61,844
FDX,FDX,FEDEX CORP,Industrials,Freight & Logistics Services,United States,New York Stock Exchange Inc.,,1.3582,21.425,248.39,62433298441,249.9837,141.9193,2641
ORLY,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Specialty Retailers,United States,NASDAQ,,0.8774,27.0803,939.715,57208853102,964.58,624.85,2585
SNOW,SNOW,SNOWFLAKE CLASS A,Information Technology,Software & IT Services,United States,New York Stock Exchange Inc.,,1.61,,178.67,58231090113,205.66,119.27,496
MCK,MCK,MCKESSON CORP,Health Care,Pharmaceuticals,United States,New York Stock Exchange Inc.,,0.5911,16.5645,420.925,57040809525,421.23,315.78,5159
FCX,FCX,FREEPORT MCMORAN INC,Materials,Metals & Mining,United States,New York Stock Exchange Inc.,,2.0009,21.9018,39.015,55919653290,46.73,24.8,5139
HUM,HUM,HUMANA INC,Health Care,Healthcare Providers & Services,United States,New York Stock Exchange Inc.,,0.6927,18.0407,443.68,55579280000,571.3,435,3467
EW,EW,EDWARDS LIFESCIENCES CORP,Health Care,Healthcare Equipment & Supplies,United States,New York Stock Exchange Inc.,,1.0191,37.6435,91.35,55378032570,107.92,67.13,974
MCO,MCO,MOODYS CORP,Financials,Professional & Commercial Services,United States,New York Stock Exchange Inc.,,1.2966,44.1647,343.285,62992797500,351.06,230.16,1474
MMM,MMM,3M,Industrials,Consumer Goods Conglomerates,United States,New York Stock Exchange Inc.,,0.9587,10.2149,99.0613,54649365305,152.3,92.38,3842
GM,GM,GENERAL MOTORS,Consumer Discretionary,Automobiles & Auto Parts,United States,New York Stock Exchange Inc.,,1.365,5.9026,38.29,53227847960,43.63,30.33,-5144
ABNB,ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Software & IT Services,United States,NASDAQ,,1.614,42.536,123.68,79087769664,144.63,81.91,3405
GD,GD,GENERAL DYNAMICS CORP,Industrials,Aerospace & Defense,United States,New York Stock Exchange Inc.,,0.8303,17.2636,213.635,58607685906,256.86,202.35,3465
MRVL,MRVL,MARVELL TECHNOLOGY INC,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.4017,22.9823,58.58,50378800000,67.99,33.75,1083
EMR,EMR,EMERSON ELECTRIC,Industrials,"Machinery, Equipment & Components",United States,New York Stock Exchange Inc.,,1.4089,20.9042,89.11,50926365000,99.6545,72.405,2391
MPC,MPC,MARATHON PETROLEUM CORP,Energy,Oil & Gas,United States,New York Stock Exchange Inc.,,1.6335,3.4844,116.45,49407732060,138.83,77.62,13899
NSC,NSC,NORFOLK SOUTHERN CORP,Industrials,Freight & Logistics Services,United States,New York Stock Exchange Inc.,,1.2879,17.1747,224.13,51020863548,264.22,196.33,2274
ROP,ROP,ROPER TECHNOLOGIES INC,Information Technology,Software & IT Services,United States,New York Stock Exchange Inc.,,1.0273,48.7118,474.17,50542823474,475.39,356.215,664
USB,USB,US BANCORP,Financials,Banking Services,United States,New York Stock Exchange Inc.,,0.9663,8.4939,32.59,49544000000,49.95,27.27,21119
PNC,PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,Banking Services,United States,New York Stock Exchange Inc.,,1.1098,8.4597,125.265,49994263620,176.34,110.31,9083
CCI,CCI,CROWN CASTLE INC,Real Estate,Residential & Commercial REIT,United States,New York Stock Exchange Inc.,,0.6585,29.4818,113.22,49100264586,184.92,107.62,1568
DXCM,DXCM,DEXCOM INC,Health Care,Healthcare Equipment & Supplies,United States,NASDAQ,,1.1449,183.1962,126.8136,49157465924,134.14,72.41,305
PH,PH,PARKER-HANNIFIN CORP,Industrials,"Machinery, Equipment & Components",United States,New York Stock Exchange Inc.,,1.5163,33.1004,385.475,49454939147,386.23,235.69,2212
FTNT,FTNT,FORTINET INC,Information Technology,Software & IT Services,United States,NASDAQ,,1.1513,61.2935,74.77,58709119874,75.06,42.6101,1449
APH,APH,AMPHENOL CORP CLASS A,Information Technology,Electronic Equipment & Parts,United States,New York Stock Exchange Inc.,,1.245,26.6878,83.145,49497798255,83.43,61.78,1791
PXD,PXD,PIONEER NATURAL RESOURCE,Energy,Oil & Gas,United States,New York Stock Exchange Inc.,,1.4474,7.2217,205.64,48065368220,274.7,177.265,7315
MSI,MSI,MOTOROLA SOLUTIONS INC,Information Technology,Communications & Networking,United States,New York Stock Exchange Inc.,,0.9313,35.4514,288.07,48314264997,299.43,204.55,1567
KMB,KMB,KIMBERLY CLARK CORP,Consumer Staples,Personal & Household Products & Services,United States,New York Stock Exchange Inc.,,0.4274,23.4423,137.28,46315663680,147.87,108.74,2733
JCI,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,"Machinery, Equipment & Components",United States,New York Stock Exchange Inc.,,1.2473,33.196,67.548,46344601742,69.6,45.52,1394
TDG,TDG,TRANSDIGM GROUP INC,Industrials,Aerospace & Defense,United States,New York Stock Exchange Inc.,,1.38,52.6154,883.05,48504426484,886.68,499.63,829
MCHP,MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Semiconductors & Semiconductor Equipment,United States,NASDAQ,,1.5765,21.3807,86.57,47213892880,87.76,54.33,3135
SRE,SRE,SEMPRA,Utilities,Multiline Utilities,United States,New York Stock Exchange Inc.,,0.7413,18.7033,145.93,45917283104,176.47,136.54,1960
PSA,PSA,PUBLIC STORAGE REIT,Real Estate,Residential & Commercial REIT,United States,New York Stock Exchange Inc.,,0.4622,12.2966,286.79,50421152159,357.125,270.13,2657
